,Book_Name,Author,Rating,Score,Votes,Average_Rating
188,"The Good Earth (House of Earth, #1)",Pearl S. Buck,249709,90632,1106,4.0
189,The Call of the Wild,Jack London,430353,90225,1172,3.9
190,The Joy Luck Club,Amy Tan,683188,89552,1119,3.97
191,Alice in Wonderland,Jane Carruth,389772,89293,1161,4.03
192,"The Selection (The Selection, #1)",Kiera Cass,1553212,88834,998,4.08
193,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,548366,88626,1076,4.24
194,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,1868601,88583,946,4.65
195,The Phantom Tollbooth,Norton Juster,286796,88520,1039,4.2
196,The Night Circus,Erin Morgenstern,975204,88305,995,4.02
197,"Oh, the Places You’ll Go!",Dr. Seuss,406791,88128,1119,4.36
198,Madame Bovary,Gustave Flaubert,334570,87849,1100,3.7
199,"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,206422,87634,1039,4.13
200,The Neverending Story,Michael Ende,201365,87331,1061,4.18
201,Oliver Twist,Charles Dickens,388738,86611,1164,3.88
202,Treasure Island,Robert Louis Stevenson,489281,86529,1158,3.84
203,Jonathan Livingston Seagull,Richard Bach,251703,86491,1057,3.86
204,Ulysses,James Joyce,127977,84111,998,3.75
205,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,923239,84077,1045,4.25
206,The Diary of a Young Girl,Anne Frank,3731882,83021,1034,4.19
207,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,783334,82594,958,4.54
208,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,2607667,81999,924,3.66
209,The Boy in the Striped Pajamas,John Boyne,830515,81395,999,4.16
210,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,958518,79811,988,4.1
211,Misery,Stephen King,698375,79693,970,4.21
212,"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,267104,79281,979,4.09
213,Beloved,Toni Morrison,435441,79104,969,3.95
214,A Farewell to Arms,Ernest Hemingway,321819,78128,1001,3.82
215,The Canterbury Tales,Geoffrey Chaucer,221810,77494,1031,3.52
216,David Copperfield,Charles Dickens,238639,77024,1012,4.03
217,The World According to Garp,John Irving,228602,76465,950,4.1
218,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,846132,76336,916,4.31
219,A Little Princess,Frances Hodgson Burnett,306230,76279,964,4.22
220,Thirteen Reasons Why,Jay Asher,970426,76060,872,3.85
221,His Dark Materials (His Dark Materials #1-3),Philip Pullman,161331,74077,864,4.29
222,The Green Mile,Stephen King,320304,73017,906,4.48
223,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,597526,72965,885,3.54
224,The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,1134,72933,731,4.5
225,Schindler’s List,Thomas Keneally,160236,72480,952,4.34
226,"Shōgun (Asian Saga, #1)",James Clavell,180188,72198,882,4.41
227,"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,552202,72077,846,4.43
228,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,3004288,72001,766,4.42
229,The Silmarillion,J.R.R. Tolkien,292867,71259,855,4.01
230,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,924370,70794,813,4.13
231,The Velveteen Rabbit,Margery Williams Bianco,258226,70786,940,4.3
232,The Iliad / The Odyssey,Homer,75952,70478,922,4.06
233,Extremely Loud & Incredibly Close,Jonathan Safran Foer,420966,70118,801,3.97
234,The Trial,Franz Kafka,325714,70095,858,3.96
235,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,497755,68876,847,4.08
236,"Fallen (Fallen, #1)",Lauren Kate,586099,67918,786,3.72
237,"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,287484,67636,795,4.37
238,Gone Girl,Gillian Flynn,3091531,66774,793,4.13
239,The Sun Also Rises,Ernest Hemingway,444911,66675,851,3.79
240,A Confederacy of Dunces,John Kennedy Toole,275488,66623,771,3.89
241,Man’s Search for Meaning,Viktor E. Frankl,714031,66613,776,4.37
242,"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,356625,66071,781,4.29
243,The Secret Magdalene,Ki Longfellow,4588,65329,670,4.15
244,The Crucible: A Play in Four Acts,Arthur Miller,408494,64258,854,3.6
245,Cat’s Cradle,Kurt Vonnegut Jr.,402950,63832,781,4.16
246,A Light in the Attic,Shel Silverstein,447000,63487,838,4.36
247,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,601235,63439,782,4.08
248,The Screwtape Letters,C.S. Lewis,447371,63392,777,4.26
249,The Wind in the Willows,Kenneth Grahame,218294,63057,838,4.01
250,"Spirit Bound (Vampire Academy, #5)",Richelle Mead,294569,62970,746,4.33
251,The Phantom of the Opera,Gaston Leroux,241932,62950,797,3.96
252,The God of Small Things,Arundhati Roy,298037,62270,731,3.95
253,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,324579,61235,733,4.46
254,Blindness,José Saramago,289808,60962,706,4.17
255,Girl with a Pearl Earring,Tracy Chevalier,736706,60488,788,3.93
256,"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,412825,59714,740,4.01
257,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,935243,59703,734,4.42
258,"Uglies (Uglies, #1)",Scott Westerfeld,663757,58721,700,3.85
259,The Wind-Up Bird Chronicle,Haruki Murakami,283511,58700,660,4.15
260,Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,469325,58421,732,4.14
261,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,3227324,57706,728,4.09
262,She’s Come Undone,Wally Lamb,346427,57501,697,3.91
263,The House of the Spirits,Isabel Allende,269575,57436,717,4.28
264,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,752941,56979,701,4.19
265,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,480913,56916,661,3.76
266,The Lord of the Rings,J.R.R. Tolkien,676219,56692,680,4.53
267,"Marked (House of Night, #1)",P.C. Cast,495963,56223,661,3.81
268,Norwegian Wood,Haruki Murakami,602150,55668,636,4.01
269,Speak,Laurie Halse Anderson,592529,55548,675,4.05
270,The Sound and the Fury,William Faulkner,182063,55425,693,3.85
271,The Shack,William Paul Young,651482,55399,659,3.83
272,Fear and Loathing in Las Vegas,Hunter S. Thompson,349216,55303,671,4.07
273,The Complete Calvin and Hobbes,Bill Watterson,40236,55094,688,4.81
274,For Whom the Bell Tolls,Ernest Hemingway,293614,54925,752,3.98
275,Island of the Blue Dolphins,Scott O'Dell,332541,54010,697,3.87
276,Roots: The Saga of an American Family,Alex Haley,159754,53284,702,4.44
277,Kafka on the Shore,Haruki Murakami,468981,53075,601,4.13
278,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,638841,53062,572,4.6
279,Stranger in a Strange Land,Robert A. Heinlein,312688,53024,663,3.92
280,Paper Towns,John Green,1357706,52873,622,3.71
281,Othello,William Shakespeare,389823,52394,748,3.89
282,The Complete Sherlock Holmes,Arthur Conan Doyle,198207,52352,679,4.5
283,Into the Wild,Jon Krakauer,1090350,52099,659,4.01
284,The Idiot,Fyodor Dostoevsky,182729,52076,660,4.21
285,"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,735181,51905,667,4.24
